Title Name,Genres,Rating,Duration,Aired,Metascore,IMDb
Фантазия 2000,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",,1h 15min,31 December 1999 (Russia),,7.2
Приключения Флика,"['Animation', 'Adventure', 'Comedy', 'Family']",0+,1h 35min,12 May 2001 (Russia),77,7.2
Анастасия,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical', 'Mystery', 'Romance']",0+,1h 34min,13 March 1998 (Russia),61,7.2
Великий мышиный сыщик,"['Animation', 'Adventure', 'Family', 'Musical', 'Mystery']",0+,1h 14min,2 July 1986 (USA),73,7.2
Меч в камне,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",,1h 19min,21 June 1964 (USA),61,7.2
101 далматинeц,"['Animation', 'Adventure', 'Comedy', 'Family']",,1h 19min,25 January 1961 (USA),83,7.2
Спящая красавица,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",12+,1h 15min,25 December 1959 (USA),85,7.2
Дамбо,"['Animation', 'Drama', 'Family', 'Musical']",0+,1h 4min,31 October 1941 (USA),96,7.2
Ральф против Интернета,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",12+,1h 52min,22 November 2018 (Russia),71,7.1
Зверопой,"['Animation', 'Comedy', 'Family', 'Musical']",6+,1h 48min,2 March 2017 (Russia),,7.1
Снупи и мелочь пузатая в кино,"['Animation', 'Comedy', 'Family']",0+,1h 28min,24 December 2015 (Russia),67,7.1
Кунг-фу Панда 3,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 35min,28 January 2016 (Russia),66,7.1
Секретная служба Санта-Клауса,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 37min,8 December 2011 (Russia),69,7.1
Храбрая сердцем,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 33min,21 June 2012 (Russia),69,7.1
Монстры на каникулах,"['Animation', 'Comedy', 'Family', 'Fantasy']",6+,1h 31min,18 October 2012 (Russia),,7.1
Принцесса и лягушка,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",0+,1h 37min,1 January 2010 (Russia),73,7.1
Девять,"['Animation', 'Action', 'Adventure', 'Drama', 'Sci-Fi']",12+,1h 19min,3 September 2009 (Russia),,7.1
Помутнение,"['Animation', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",R,1h 40min,28 July 2006 (USA),73,7.1
Губка Боб - квадратные штаны,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 27min,17 March 2005 (Russia),66,7.1
Тачки,"['Animation', 'Comedy', 'Family', 'Sport']",0+,1h 57min,15 June 2006 (Russia),73,7.1
Спирит: Душа прерий,"['Animation', 'Adventure', 'Drama', 'Family', 'Western']",0+,1h 23min,31 October 2002 (Russia),,7.1
Принц Египта,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']",0+,1h 39min,18 December 1998 (USA),64,7.1
Балто,"['Animation', 'Adventure', 'Drama', 'Family', 'History']",,1h 18min,22 June 1998 (Russia),,7.1
Bedknobs and Broomsticks,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",,1h 57min,13 December 1971 (USA),,7.1
Коты-аристократы,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical']",0+,1h 18min,24 December 1970 (USA),66,7.1
"Паранорман, или Как приручить зомби","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']",6+,1h 32min,23 August 2012 (Russia),72,7.0
Зачарованная,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",PG,1h 47min,22 November 2007 (Russia),75,7.0
Побег из курятника,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",0+,1h 24min,22 March 2001 (Russia),88,7.0
Король Лев,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",6+,1h 58min,18 July 2019 (Russia),,6.9
Холодное сердце 2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",PG,1h 43min,28 November 2019 (Russia),64,6.9
Рио,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Musical']",0+,1h 36min,7 April 2011 (Russia),63,6.9
Легенды ночных стражей,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Thriller', 'War']",0+,1h 37min,30 September 2010 (Russia),,6.9
Франкенвини,"['Animation', 'Comedy', 'Family', 'Horror', 'Sci-Fi']",12+,1h 27min,11 October 2012 (Russia),74,6.9
Ледниковый период 3: Эра динозавров,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 34min,1 July 2009 (Russia),,6.9
"Облачно, возможны осадки в виде фрикаделек","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0+,1h 30min,22 October 2009 (Russia),66,6.9
Мадагаскар,"['Animation', 'Adventure', 'Comedy', 'Family']",0+,1h 26min,2 June 2005 (Russia),,6.9
Атлантида: Затерянный мир,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",12+,1h 35min,21 December 2001 (Russia),,6.9
Дорога на Эльдорадо,"['Animation', 'Adventure', 'Comedy', 'Family', 'Romance']",0+,1h 29min,31 March 2000 (USA),,6.9
Горбун из Нотр-Дама,"['Animation', 'Drama', 'Family', 'Musical', 'Romance']",6+,1h 31min,21 June 1996 (USA),74,6.9
The Rescuers Down Under,"['Animation', 'Adventure', 'Crime', 'Drama', 'Family', 'Fantasy', 'Mystery']",0+,1h 17min,9 July 1992 (Russia),70,6.9
Американская история,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Musical']",,1h 20min,3 October 1993 (Russia),,6.9
Спасатели,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 18min,22 June 1977 (USA),74,6.9
Камуфляж и шпионаж,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",PG,1h 42min,9 January 2020 (Russia),,6.8
Аисты,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 27min,22 September 2016 (Russia),,6.8
Мадагаскар 3,"['Animation', 'Adventure', 'Comedy', 'Family']",0+,1h 35min,7 June 2012 (Russia),,6.8
Рождественская история,"['Animation', 'Drama', 'Family', 'Fantasy']",0+,1h 36min,19 November 2009 (Russia),,6.8
Приключения мистера Пибоди и Шермана,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",0+,1h 32min,6 March 2014 (Russia),,6.8
Семейка монстров,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 36min,25 September 2014 (Russia),61,6.8
Хортон,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 26min,13 March 2008 (Russia),71,6.8
Ледниковый период 2: Глобальное потепление,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 31min,30 March 2006 (Russia),,6.8
Вольт,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",0+,1h 36min,26 November 2008 (Russia),67,6.8
В гости к Робинсонам,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",0+,1h 35min,29 March 2007 (Russia),61,6.8
Братец медвежонок,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 25min,18 March 2004 (Russia),,6.8
Бивис и Батт-Хед уделывают Америку,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Music']",14+,1h 21min,20 December 1996 (USA),64,6.8
Каникулы Гуфи,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical', 'Romance']",,1h 18min,23 June 1996 (Russia),,6.8
Все псы попадают в рай,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",6+,1h 24min,3 April 1996 (Russia),,6.8
Тачки 3,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']",6+,1h 42min,15 June 2017 (Russia),,6.7
Фердинанд,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 48min,21 December 2017 (Russia),,6.7
Монстры на каникулах 2,"['Animation', 'Comedy', 'Family', 'Fantasy']",6+,1h 29min,22 October 2015 (Russia),,6.7
