Title Name,Genres,Rating,Duration,Aired,Metascore,IMDb
Рио 2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical']",0+,1h 41min,20 March 2014 (Russia),,6.3
Angry Birds в кино,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",6+,1h 37min,12 May 2016 (Russia),,6.3
Шрэк навсегда,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",6+,1h 33min,20 May 2010 (Russia),,6.3
Астробой,"['Animation', 'Action', 'Comedy', 'Family', 'Sci-Fi']",12+,1h 34min,22 October 2009 (Russia),,6.3
Роботы,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",6+,1h 31min,17 March 2005 (Russia),64,6.3
Покемон: Мьюту против Мью,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",0+,1h 36min,18 July 1998 (Japan),,6.3
Осмосис Джонс,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Sci-Fi']",PG,1h 35min,31 December 2002 (Russia),,6.3
Черепaшки-ниндзя,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",PG,1h 27min,22 March 2007 (Russia),,6.2
Беовульф,"['Animation', 'Action', 'Adventure', 'Fantasy']",PG-13,1h 55min,22 November 2007 (Russia),,6.2
Bлaстелин колец,"['Animation', 'Adventure', 'Fantasy']",,2h 12min,15 November 1978 (USA),,6.2
Полный расколбас,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",18+,1h 29min,8 September 2016 (Russia),66,6.1
Тачки 2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']",6+,1h 46min,23 June 2011 (Russia),,6.1
Приключения Десперо,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 33min,25 December 2008 (Russia),,6.1
Шрэк Третий,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 33min,17 May 2007 (Russia),,6.1
Сезон охоты,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",12+,1h 26min,26 October 2006 (Russia),,6.1
Би Муви: Медовый заговор,"['Animation', 'Adventure', 'Comedy', 'Family']",PG,1h 31min,1 November 2007 (Russia),,6.1
Губка Боб в 3D,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",6+,1h 32min,12 February 2015 (Russia),62,6.0
Планета 51,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",12+,1h 31min,19 November 2009 (Russia),,6.0
